scenario,strategy,pool_size,run,elapsed_ms,matches,consulted_providers
NO_IO,SEQUENTIAL,-,1,0.021,7,100
NO_IO,SEQUENTIAL,-,2,0.029,7,100
NO_IO,SEQUENTIAL,-,3,0.022,7,100
NO_IO,SEQUENTIAL,-,4,0.014,7,100
NO_IO,SEQUENTIAL,-,5,0.014,7,100
NO_IO,FIXED,2,1,0.395,7,100
NO_IO,FIXED,2,2,0.380,7,100
NO_IO,FIXED,2,3,0.437,7,100
NO_IO,FIXED,2,4,0.644,7,100
NO_IO,FIXED,2,5,0.668,7,100
NO_IO,FIXED,4,1,0.650,7,100
NO_IO,FIXED,4,2,0.473,7,100
NO_IO,FIXED,4,3,0.483,7,100
NO_IO,FIXED,4,4,0.635,7,100
NO_IO,FIXED,4,5,0.589,7,100
NO_IO,FIXED,8,1,0.879,7,100
NO_IO,FIXED,8,2,0.663,7,100
NO_IO,FIXED,8,3,0.917,7,100
NO_IO,FIXED,8,4,2.824,7,100
NO_IO,FIXED,8,5,0.830,7,100
NO_IO,VIRTUAL,-,1,0.810,7,100
NO_IO,VIRTUAL,-,2,0.828,7,100
NO_IO,VIRTUAL,-,3,0.601,7,100
NO_IO,VIRTUAL,-,4,0.905,7,100
NO_IO,VIRTUAL,-,5,0.464,7,100
IO,SEQUENTIAL,-,1,11500.182,7,100
IO,SEQUENTIAL,-,2,11020.956,7,100
IO,SEQUENTIAL,-,3,11039.647,7,100
IO,SEQUENTIAL,-,4,11029.011,7,100
IO,SEQUENTIAL,-,5,11031.464,7,100
IO,FIXED,2,1,5513.283,7,100
IO,FIXED,2,2,5504.754,7,100
IO,FIXED,2,3,5509.668,7,100
IO,FIXED,2,4,5613.683,7,100
IO,FIXED,2,5,5846.998,7,100
IO,FIXED,4,1,3018.336,7,100
IO,FIXED,4,2,2998.301,7,100
IO,FIXED,4,3,3013.970,7,100
IO,FIXED,4,4,3006.378,7,100
IO,FIXED,4,5,2993.078,7,100
IO,FIXED,8,1,1558.544,7,100
IO,FIXED,8,2,1562.532,7,100
IO,FIXED,8,3,1561.593,7,100
IO,FIXED,8,4,1557.321,7,100
IO,FIXED,8,5,1550.568,7,100
IO,VIRTUAL,-,1,198.660,7,100
IO,VIRTUAL,-,2,199.151,7,100
IO,VIRTUAL,-,3,200.603,7,100
IO,VIRTUAL,-,4,199.212,7,100
IO,VIRTUAL,-,5,198.765,7,100
